tweet,label
Pękła guma twoim starym i słaby jest tego efekt.,hateful
Lepiej zainteresujcie sie za ile euro ta ruda larwa Polske sprzedala !!  wladzy dajcie troche czasu,hateful
zdrajca,hateful
czy ktoś pamięta że Niemcy porwali 200tyś nordyckich dzieci tylko 40tyś z nich odzyskało rodziny a ponad 100tyś nie wiedziało że nie jest smierdzacym frycem dorastając z tymi parchami,hateful
Panie Dębski lekarz od głowy przyjmuje od rana ustaw się Pan w kolejkę,hateful
ciemny narod wszystko kupi,hateful
Taka miernota polityczna o parszywej reputacji dziś rozdaje karty.Przecież to jest horror.,hateful
zdrajca i złodziej był i nim zostanie. Hańba p. Tusk tak postępować,hateful
bo prezio może kotkę wydutkać !,hateful
jeden zeta za wpis -oto stawka TROLI pislamu,hateful
"Ta wieśniaczka jest za po, wszystko jasne.",hateful
Ale byłby smród.,hateful
ani oszustow z pis,hateful
PiS_dy z podszywanym życiorysem Solidarność będą podszywane wiadomości głosić!,hateful
"Od ciebie już czuć , starucho!",hateful
"Czego chcecie od Karoliny, boli was bo w PiS-PZPR same obleśne pasztety. A Karolina piękna kobieta.",hateful
"To dowcip dla tumanów z PO, ale NIGDY dla Pana Kaczyńskiego!
Niemcy jednoznacznie wspierają PO i Nowoczesna (Ponowna Okupacja Niemiecka). Niemcy finansowali partię Tuska i ułatwiali jej dojście do władzy, później konDonka-zdrajcę zrobili naczelnym błaznem Europy. Jest jasne, dlaczego Niemcy zażarcie bronią interesów swojej agentury w Polsce, ale czy my mamy się na to godzić? NIE!! W tej sytuacji Polacy powinni Szkopów przegonić, a zdrajców wyłapać, ogolić i izolować!",hateful
Poszla won stara klamaczka i dobrze.,hateful
Powinni w ramach protestu amputować narządy ..własne oczywiście,hateful
"Śmieje się i oddaje mocz, ale wiadomość.",hateful
Wszyscy opłaceni ha ha ha . my mamy was po prostu dosyć i musi to dotrzeć do waszych czerwonych moherowych łbów,hateful
"Niestety Polacy znowu dopuścili kartofla do władzy , wygrał pierwsze nie sfałszowane wybory i będzie nami rządził  dla dobra Polski i zaznaczam ""wszystkich Polaków tych prawdziwych i nieprawdziwych .",hateful
Ja się też uśmiałem kiedy zobaczyłem fotę rudego z makrelą,hateful
To niech idzie do zydowsko niemieckiego tvn-u tam ja z otwartymi rekami przyjma:),hateful
Niech Cię trzymają na smyczy burku,hateful
"Na skarge to pojechał plastuś duduś, żenada tak jak i wszyscy z pis. prostaki z wąskimi horyzontami. wstyd na arenie międzynarodowej!",hateful
"hmmm z którego szpitala właśnie uciekłeś? Tworki, Srebrzysko??",hateful
ohydny i żenujący widok,hateful
Ta. I ta Schetyna z uśmiechem maniaka sadysty,hateful
BRAWO ZASCIANEK POKAZCIE CO MA W GLOWIE A NIE TO CO NIUDACZNICY PROBOJA WMOWIC POLAKOM ALE NIE TYM CO GLOSOWALI NA NICH ALE TEJ NIEDOUCZONEJ KLASIE ALE NADWYRAZ DOUCZONEJ PROPAGANDZIE POPRZEDNIEJ BANDY,hateful
"Szkoda, że nie pękł.",hateful
"Tania Dziuńka z tego Tuska
Tyle zniszczyć i nie mieć dość",hateful
pro-pis-owskie je6ane wp,hateful
Zdrajca !!! Zdrajca !!! Zdrajca !!! nadęty ordynarny typ,hateful
"hej stary, jad cię zeżre od środka ha ha ha",hateful
"To nie człowiek, to gnom.",hateful
